Algorithm,Seed,Return,waiting_list,queue_list,speed_list,Actor loss,Critic loss,VAE loss,Log time
IDQN,43,-155.36124999999987,104059.0,1426,0.882378145911581,,17.384128963383475,,05-07 18:33:24
IDQN,43,-73.64500000000001,64336.0,784,1.820036652287809,,17.384128963383475,,05-07 18:39:21
IDQN,43,-181.23937499999994,217056.0,1144,1.205959366226033,,17.384128963383475,,05-07 18:46:19
IDQN,43,-133.95312500000006,179094.0,1248,1.011551419222791,,17.384128963383475,,05-07 18:53:26
IDQN,43,-203.7712500000001,226085.0,1184,1.1706647217875947,,17.384128963383475,,05-07 19:00:16
IDQN,43,-321.6868750000001,528496.0,1630,0.6095754985346785,,17.384128963383475,,05-07 19:07:52
IDQN,43,-176.91937500000003,187717.0,1113,1.1745485908108775,,17.384128963383475,,05-07 19:16:28
IDQN,43,-490.0868750000002,808912.0,2305,0.2138834356810067,,17.384128963383475,,05-07 19:27:36
IDQN,43,-490.82062500000023,978531.0,2123,0.1948369994846937,,17.384128963383475,,05-07 19:38:00
IDQN,43,-527.7718749999999,850433.0,2355,0.2516816977762103,,17.384128963383475,,05-07 19:49:15
IDQN,43,-842.8762500000006,2213141.0,2730,0.1545425252819586,,17.384128963383475,,05-07 20:01:02
IDQN,43,-404.46562500000005,753745.0,1911,0.5219129673693964,,17.384128963383475,,05-07 20:11:42
IDQN,43,-422.86812500000036,824498.0,2391,0.14614185036073393,,17.384128963383475,,05-07 20:20:18
IDQN,43,-474.86125,888087.0,2560,0.09063238559313325,,17.384128963383475,,05-07 20:29:17
IDQN,43,-928.9368750000001,2578040.0,3261,0.07108341892340711,,17.384128963383475,,05-07 20:39:55
IDQN,43,-618.7949999999998,1394172.0,2929,0.07740519769401001,,17.384128963383475,,05-07 20:49:57
IDQN,43,-654.1349999999996,1592376.0,2971,0.16164967571997188,,17.384128963383475,,05-07 21:00:05
IDQN,43,-706.0950000000003,1717637.0,3052,0.11395876068754167,,17.384128963383475,,05-07 21:10:27
IDQN,43,-948.0775,4089488.0,3306,0.004067494260226364,,17.384128963383475,,05-07 21:21:51
IDQN,43,-566.4356249999997,991087.0,2795,0.23849338454964653,,17.384128963383475,,05-07 21:31:40
IDQN,43,-827.7474999999994,2278538.0,3057,0.05714684054091935,,17.384128963383475,,05-07 21:41:58
IDQN,43,-742.9425,1846662.0,3168,0.032894958268831466,,17.384128963383475,,05-07 21:52:28
IDQN,43,-673.9525000000003,1836351.0,3254,0.07067260963765708,,17.384128963383475,,05-07 22:03:03
IDQN,43,-890.5493749999999,3230696.0,3258,0.027714111151234122,,17.384128963383475,,05-07 22:14:36
IDQN,43,-963.2468750000005,3477708.0,3522,0.022827774699632725,,17.384128963383475,,05-07 22:26:53
IDQN,43,-833.7943750000004,2154181.0,3522,0.037977964240373634,,17.384128963383475,,05-07 22:38:19
IDQN,43,-1025.3331249999983,4116766.0,3325,0.03631194907620054,,17.384128963383475,,05-07 22:50:10
IDQN,43,-864.4512500000003,2997916.0,3580,0.0163844570216908,,17.384128963383475,,05-07 23:02:16
IDQN,43,-1010.3581250000005,3694482.0,3601,0.01139628273223076,,17.384128963383475,,05-07 23:14:15
IDQN,43,-908.9112500000011,3520266.0,3501,0.00953204587592508,,17.384128963383475,,05-07 23:26:20
IDQN,43,-923.2087500000001,3638716.0,3418,0.043788158638252264,,17.384128963383475,,05-07 23:38:31
IDQN,43,-952.2062500000003,3983463.0,3532,0.021923705687709127,,17.384128963383475,,05-07 23:50:33
IDQN,43,-977.9012500000001,3798960.0,3713,0.019003360160277,,17.384128963383475,,05-08 00:03:07
IDQN,43,-913.3262499999994,3641045.0,3494,0.004645183780132351,,17.384128963383475,,05-08 00:15:17
IDQN,43,-855.6693750000012,2969289.0,3434,0.009642810728849448,,17.384128963383475,,05-08 00:27:13
IDQN,43,-797.9318749999999,2288403.0,3432,0.05305407424082349,,17.384128963383475,,05-08 00:39:06
IDQN,43,-928.3262500000001,3566486.0,3464,0.015572307695864962,,17.384128963383475,,05-08 00:50:46
IDQN,43,-895.3912499999996,3469108.0,3505,0.011470503213379219,,17.384128963383475,,05-08 01:02:54
IDQN,43,-773.7925000000001,2329854.0,3606,0.013063013237981296,,17.384128963383475,,05-08 01:14:55
IDQN,43,-802.0974999999995,3149015.0,3261,0.06034533431160787,,17.384128963383475,,05-08 01:26:28
IDQN,43,-826.5062499999999,2824162.0,3352,0.0144880317544708,,17.384128963383475,,05-08 01:37:59
IDQN,43,-825.9174999999999,3007710.0,3311,0.011182438542045812,,17.384128963383475,,05-08 01:49:20
IDQN,43,-886.0493749999999,3562397.0,3374,0.003958951420891752,,17.384128963383475,,05-08 02:01:14
IDQN,43,-762.5750000000007,2281294.0,3356,0.011774480928667012,,17.384128963383475,,05-08 02:12:54
IDQN,43,-913.0431250000001,3059467.0,3514,0.03389805133598801,,17.384128963383475,,05-08 02:24:54
IDQN,43,-871.6293749999994,3306023.0,3380,0.012243516842696811,,17.384128963383475,,05-08 02:37:01
IDQN,43,-871.7050000000005,4057386.0,3257,0.0031149733795042467,,17.384128963383475,,05-08 02:48:53
IDQN,43,-820.2868750000001,2600338.0,3354,0.055515099025332686,,17.384128963383475,,05-08 03:00:30
IDQN,43,-1039.6756249999996,4563096.0,3507,0.019152466246994723,,17.384128963383475,,05-08 03:13:04
IDQN,43,-784.8450000000001,2854124.0,3430,0.03679394198238902,,17.384128963383475,,05-08 03:25:06
IDQN,43,-894.0925000000001,3710403.0,3421,0.04243420916383542,,17.384128963383475,,05-08 03:37:07
IDQN,43,-916.8250000000003,4045888.0,3309,0.0040770603620268455,,17.384128963383475,,05-08 03:48:57
IDQN,43,-778.8018749999992,2580157.0,3555,0.04376198369252543,,17.384128963383475,,05-08 04:01:01
IDQN,43,-936.72125,3071562.0,3330,0.024869711023534437,,17.384128963383475,,05-08 04:12:27
IDQN,43,-751.2956250000005,2185370.0,3531,0.02237150152273992,,17.384128963383475,,05-08 04:24:11
IDQN,43,-986.2743749999996,3881623.0,3272,1.1834522971563946e-05,,17.384128963383475,,05-08 04:35:42
IDQN,43,-877.213750000001,2640569.0,3377,0.030227757723567644,,17.384128963383475,,05-08 04:47:12
IDQN,43,-958.0056250000002,3328504.0,3408,0.014221013857893282,,17.384128963383475,,05-08 04:58:45
IDQN,43,-897.3137500000006,2998748.0,3454,0.017802466454864937,,17.384128963383475,,05-08 05:10:24
IDQN,43,-837.2768750000012,2764089.0,3376,0.01981667945315172,,17.384128963383475,,05-08 05:21:48
IDQN,43,-950.8831249999996,3924787.0,3301,0.00322100957557664,,17.384128963383475,,05-08 05:33:26
IDQN,43,-831.8293749999999,2937477.0,3340,0.010607937695883076,,17.384128963383475,,05-08 05:44:45
IDQN,43,-870.8168750000006,3133808.0,3519,0.01593479854067909,,17.384128963383475,,05-08 05:56:52
IDQN,43,-818.6162500000011,2489285.0,3367,0.03854403675173557,,17.384128963383475,,05-08 06:08:29
IDQN,43,-908.2475,2676282.0,3348,0.1026456159233928,,17.384128963383475,,05-08 06:19:45
IDQN,43,-849.7537500000005,2484140.0,3408,0.07655185447377358,,17.384128963383475,,05-08 06:31:26
IDQN,43,-804.3943749999999,2559615.0,3391,0.0448073928900787,,17.384128963383475,,05-08 06:43:10
IDQN,43,-745.3425000000003,1880164.0,3467,0.06468694505186792,,17.384128963383475,,05-08 06:54:30
IDQN,43,-841.7193750000006,2669079.0,3674,0.0810004773634859,,17.384128963383475,,05-08 07:06:33
IDQN,43,-762.5699999999995,2871308.0,3248,0.01651348935244634,,17.384128963383475,,05-08 07:18:13
IDQN,43,-824.4725000000007,2755781.0,3434,0.07183662813933704,,17.384128963383475,,05-08 07:30:12
IDQN,43,-919.473125,4204636.0,3408,0.0022603871903348702,,17.384128963383475,,05-08 07:42:09
IDQN,43,-850.4331249999989,3599119.0,3285,0.025540313424568365,,17.384128963383475,,05-08 07:53:51
IDQN,43,-1019.7162500000005,4114894.0,3475,0.022810545988758146,,17.384128963383475,,05-08 08:05:42
